"permutation_id","is_identity","leaky_auroc","leaky_pr_auc","leaky_balanced_accuracy","leaky_mcc","leaky_sensitivity","leaky_specificity","guarded_auroc","guarded_pr_auc","guarded_balanced_accuracy","guarded_mcc","guarded_sensitivity","guarded_specificity","gap_auroc","gap_pr_auc","runtime_secs"
0,TRUE,0.770506587754526,0.401955112140504,0.554618473895582,0.206251663166225,0.133333333333333,0.975903614457831,0.726484886916085,0.3656385082875,0.579158740224054,0.225031236603378,0.210526315789474,0.947791164658635,0.0440217008384408,0.0363166038530041,7.71371603012085
1,FALSE,0.834101317550906,0.58883590278315,0.680617205664764,0.448652028060323,0.407017543859649,0.95421686746988,0.584865778905095,0.242922240246395,0.533291058972733,0.102532755699773,0.12280701754386,0.943775100401606,0.249235538645811,0.345913662536755,7.46560096740723
2,FALSE,0.871345029239767,0.609755465093616,0.72576622278588,0.495003511278354,0.515789473684211,0.93574297188755,0.50581272458254,0.208678271237678,0.526738533079687,0.0654163045896354,0.157894736842105,0.895582329317269,0.365532304657227,0.401077193855937,7.45615291595459
3,FALSE,0.792235609103079,0.505009443566205,0.640414288733883,0.362061092669565,0.329824561403509,0.951004016064257,0.600295920524202,0.147636938097017,0.467554428239273,-0.0726959852252014,0.087719298245614,0.847389558232932,0.191939688578876,0.357372505469187,7.61895418167114
4,FALSE,0.887972944409216,0.703056174326547,0.742168674698795,0.545086031466749,0.533333333333333,0.951004016064257,0.681321778341436,0.130299614087021,0.460579158740224,-0.112064954944005,0.0175438596491228,0.903614457831325,0.20665116606778,0.572756560239526,6.29059290885925
5,FALSE,0.79294018177975,0.41309761329547,0.575206087507926,0.230659689089469,0.192982456140351,0.957429718875502,0.535757063341084,0.239523267371411,0.533291058972733,0.102532755699773,0.12280701754386,0.943775100401606,0.257183118438667,0.17357434592406,6.54412889480591
6,FALSE,0.842161628972029,0.544075782815607,0.655442823927288,0.375602735984949,0.371929824561403,0.938955823293173,0.531247798210385,0.217700868168408,0.498943140984993,-0.00318576431241113,0.0701754385964912,0.927710843373494,0.310913830761644,0.326374914647199,6.33926701545715
7,FALSE,0.893045867681253,0.69046402431626,0.732086239695625,0.512930029811892,0.52280701754386,0.94136546184739,0.527513563024027,0.177153828914294,0.498203339674487,-0.00610744679977041,0.0526315789473684,0.943775100401606,0.365532304657226,0.513310195401965,6.28865599632263
8,FALSE,0.951849503276263,0.855126971567808,0.817269076305221,0.691797964283857,0.666666666666667,0.967871485943775,0.521454238004651,0.19994485735995,0.50570703868104,0.0165290440909456,0.087719298245614,0.923694779116466,0.430395265271611,0.655182114207859,6.35044598579407
9,FALSE,0.926682167265555,0.813817659828776,0.806383428450645,0.655410573920698,0.656140350877193,0.956626506024096,0.545339251743818,0.202099871190602,0.490911012470936,-0.0253814783994416,0.0701754385964912,0.911646586345382,0.381342915521737,0.611717788638174,6.31298303604126
